acft_type;acft_cat;in_block_hour;off_block_hour;total_time;turnaround _type;turnaround_qualifier;tow_type
AT72;C;21;21;33;DD;JJ;1
A320;C;0;6;376;DD;JJ;2
A320;C;0;7;435;II;JJ;1
B734;C;0;4;234;DD;AA;1
B738;C;0;6;396;ID;JJ;2
B722;C;0;3;181;DD;MM;1
B733;C;0;3;151;DD;AA;1
B722;C;0;4;205;DD;MM;1
B734;C;0;3;191;DD;AA;1
B734;C;0;3;130;DD;AA;1
B76W;D;1;3;179;DD;MM;1
E190;C;1;6;347;DD;JJ;2
A320;C;1;8;434;II;JJ;2
A332;E;1;5;242;ID;AF;1
B734;C;1;2;114;DD;AA;1
B722;C;1;4;218;DD;MM;1
B77L;E;1;2;94;II;JJ;1
B734;C;1;3;106;DD;AA;1
B738;C;1;3;153;II;JJ;1
A318;C;1;6;295;DD;JJ;1
AT72;C;1;4;177;DD;FF;1
B77W;E;1;3;97;II;JJ;1
A321;C;2;3;63;DD;JJ;1
B734;C;2;4;82;DD;MM;1
A321;C;3;6;216;DD;JJ;1
B738;C;3;5;112;II;JJ;1
B763;D;3;5;126;II;JJ;1
A332;E;4;8;257;II;JJ;1
B738;C;4;5;85;ID;JJ;1
A320;C;4;5;52;II;JJ;1
A332;E;4;5;63;II;JJ;1
B738;C;4;6;103;DD;JJ;1
B738;C;4;7;143;DD;JJ;1
B77W;E;5;7;160;II;JJ;1
B738;C;5;5;49;DD;JJ;1
B76W;D;5;9;266;ID;JJ;1
A332;E;5;22;1040;II;JJ;3
B772;E;5;14;581;II;JJ;3
B738;C;5;8;169;DD;JJ;1
B77W;E;5;10;334;II;JJ;2
B77W;E;5;22;1033;II;JJ;3
B744;E;5;16;655;II;JJ;3
A332;E;5;15;614;II;JJ;3
B77L;E;5;6;77;II;FF;1
B77W;E;5;22;1036;II;JJ;3
B738;C;5;8;147;DD;JJ;1
B76W;D;5;14;527;II;JJ;3
B77W;E;5;15;577;II;JJ;3
A332;E;5;8;147;II;JJ;1
B738;C;6;8;139;DI;JJ;1
A321;C;6;10;263;DD;JJ;2
B738;C;6;9;195;DD;JJ;1
A320;C;6;12;404;DD;JJ;1
A332;E;6;8;1567;II;JJ;3
A321;C;6;8;100;DD;JJ;1
A346;E;6;15;517;II;JJ;3
A321;C;6;10;248;DD;JJ;2
B738;C;6;12;332;II;JJ;3
B737;C;6;7;76;DD;JJ;1
A321;C;6;11;250;DD;JJ;2
A320;C;6;9;147;DD;JJ;1
AT72;C;6;7;50;DD;JJ;1
A320;C;7;8;66;DD;JJ;1
A319;C;7;9;124;DD;JJ;1
B738;C;7;9;120;DD;JJ;1
A320;C;7;8;96;DD;JJ;1
A333;E;7;14;431;II;JJ;2
A320;C;7;9;116;DD;JJ;1
A320;C;7;8;63;DD;JJ;1
A320;C;7;8;99;DD;JJ;1
A320;C;7;8;45;DD;JJ;1
B76W;D;7;10;190;II;JJ;1
AT72;C;7;8;36;DD;JJ;1
A320;C;7;12;269;DD;JJ;2
A321;C;7;9;112;DD;JJ;1
B738;C;7;8;48;DD;JJ;1
A320;C;7;8;55;DI;GJ;1
B737;C;7;8;27;DD;JJ;1
B738;C;7;8;56;DD;JJ;1
E190;C;7;8;36;DD;JJ;1
E190;C;7;8;32;DD;JJ;1
A321;C;7;9;102;DD;JJ;1
E190;C;7;8;42;DD;JJ;1
B738;C;8;9;80;DD;JJ;1
A320;C;8;14;372;ID;JJ;2
B738;C;8;9;65;DD;JJ;1
E190;C;8;9;42;DD;JJ;1
A320;C;8;11;161;DI;SJ;1
AT72;C;8;9;31;DD;JJ;1
B77L;E;8;0;933;II;JJ;3
B77W;E;8;23;880;II;JJ;3
A320;C;8;9;45;DD;JJ;1
B737;C;8;10;96;DD;JJ;1
B738;C;8;10;78;DD;JJ;1
B738;C;8;10;99;DI;JJ;1
B738;C;8;9;51;DD;SJ;1
B737;C;8;10;104;DD;JJ;1
B737;C;8;9;50;DD;JJ;1
B738;C;9;11;153;ID;JJ;1
B737;C;9;9;49;DD;JJ;1
E190;C;9;9;40;DD;JJ;1
E190;C;9;9;37;DD;JJ;1
A320;C;9;11;162;DD;JJ;1
A320;C;9;9;39;DD;SJ;1
A320;C;9;10;77;DD;JJ;1
A320;C;9;11;103;II;JJ;1
B738;C;9;11;106;II;JJ;1
E190;C;9;10;43;DD;JJ;1
A320;C;9;18;529;II;JJ;2
B738;C;9;11;96;DD;JJ;1
A321;C;9;11;124;DD;JJ;1
B738;C;9;10;48;DI;JJ;1
B737;C;9;10;48;II;JJ;1
B738;C;9;10;47;DD;JJ;1
A321;C;9;12;158;DD;JJ;1
B738;C;9;11;68;DD;JJ;1
B738;C;10;11;110;DD;JJ;1
B738;C;10;11;58;DD;JJ;1
B738;C;10;16;359;DD;JJ;1
B738;C;10;12;115;DD;JJ;1
A320;C;10;11;60;DD;JJ;1
B738;C;10;11;76;DI;JJ;1
A321;C;10;13;174;DD;JJ;1
B738;C;10;11;68;DD;JG;1
A320;C;10;11;39;DD;JJ;1
A320;C;10;13;153;DD;JJ;1
E190;C;10;11;33;DD;JJ;1
E190;C;10;11;51;DD;JJ;1
A320;C;10;11;62;DD;JJ;1
A332;E;10;12;124;II;JJ;1
E190;C;10;11;51;DD;JJ;1
B737;C;10;12;85;DI;JJ;1
AT72;C;10;11;22;DD;JJ;1
A320;C;11;15;251;II;JS;2
E190;C;11;11;51;DD;JJ;1
B738;C;11;13;112;II;JJ;1
B738;C;11;12;67;DI;JJ;1
B738;C;11;14;163;DD;JJ;1
A318;C;11;12;55;DD;JJ;1
A319;C;11;12;53;DD;JJ;1
B772;E;11;22;672;II;JJ;3
